condition,first_50_mean_steps,first_50_std_steps,first_50_reached_seeds,final_success_mean,final_success_std,final_native_return_mean,final_native_return_std,final_episode_length_mean,final_episode_length_std,n_seeds
sparse,5750.0,1854.0496217739158,8,0.9958333333333333,0.011023963796102421,0.8791927083333333,0.05282158426760717,19.262499999999996,8.288939040472348,8
dense,7250.0,1984.3134832984429,8,0.9666666666666667,0.02886751345948133,0.6990104166666666,0.029944202668254483,47.625,4.837232622527518,8
intention_naive,4000.0,0.0,1,0.0,0.0,0.0,0.0,144.0,0.0,8
intention_pb,5750.0,1854.0496217739158,8,0.975,0.02763853991962836,0.76078125,0.09721868638163565,37.875,15.202190540255119,8
potential_dist,5750.0,1198.95788082818,8,0.9958333333333333,0.011023963796102421,0.8692187499999999,0.0339408745380805,20.858333333333334,5.276855913641507,8
intention_pb_shifted,6000.0,1732.0508075688772,8,0.9958333333333333,0.011023963796102421,0.8425260416666667,0.06910337194768373,25.129166666666663,10.907991941436538,8
