condition,n_seeds,normalized_auc_mean,normalized_auc_std,t0_success_mean,t0_success_std,final_success_mean,final_success_std,final_native_return_mean,final_native_return_std,final_episode_length_mean,final_episode_length_std,first_50_steps_mean,first_50_steps_std,first_50_steps_reached,first_90_steps_mean,first_90_steps_std,first_90_steps_reached
sparse,8,0.19170833333333331,0.034091151303853325,0.0,0.0,0.22916666666666663,0.06109532624422992,0.17704166666666662,0.05338727155314165,82.875,5.277119110945961,,,0,,,0
potential_geo,8,0.1248333333333333,0.018116137680102916,0.0,0.0,0.2083333333333333,0.05204164998665332,0.1742833333333333,0.04405948630355707,82.95,4.330704330706496,,,0,,,0
potential_bfs,8,0.10537499999999997,0.04168114331845198,0.0,0.0,0.18749999999999994,0.07626252174051301,0.14092499999999997,0.05824093575160192,86.42500000000001,5.653753669515112,,,0,,,0
intention_naive,8,0.003833333333333329,0.0063377177806105064,0.0,0.0,0.008333333333333325,0.01443375672974063,0.004808333333333325,0.008904083800893447,99.55833333333334,0.8412540242598194,,,0,,,0
