comparison,mean_auc_delta,paired_se,t_value,same_sign_seeds,n_seeds
potential_geo - sparse,-0.06687499999999999,0.015969457145060886,-4.1876814842565535,8,8
potential_bfs - sparse,-0.08633333333333335,0.016785292125728154,-5.143391767427352,8,8
intention_naive - sparse,-0.18787499999999996,0.013930800849254394,-13.486302907707953,8,8
potential_bfs - potential_geo,-0.019458333333333334,0.014381140855355929,-1.3530451811190292,6,8
