condition,seed,normalized_auc,first_50_steps,first_90_steps,t0_success,final_success,final_native_return,final_episode_length
sparse,42,0.26366666666666655,,,0.0,0.2333333333333333,0.1895333333333333,81.53333333333333
sparse,43,0.154,,,0.0,0.1333333333333333,0.1081333333333333,89.46666666666667
sparse,44,0.18866666666666665,,,0.0,0.2,0.1631,84.1
sparse,45,0.22366666666666665,,,0.0,0.3,0.2355,77.16666666666667
sparse,46,0.19066666666666665,,,0.0,0.3333333333333333,0.2727333333333332,73.4
sparse,47,0.15633333333333332,,,0.0,0.1666666666666666,0.1102666666666666,89.6
sparse,48,0.17299999999999996,,,0.0,0.2333333333333333,0.1523333333333333,85.66666666666667
sparse,49,0.18366666666666662,,,0.0,0.2333333333333333,0.1847333333333333,82.06666666666666
potential_geo,42,0.11466666666666661,,,0.0,0.2666666666666666,0.2333666666666666,77.03333333333333
potential_geo,43,0.10399999999999997,,,0.0,0.1333333333333333,0.1033333333333333,90.0
potential_geo,44,0.14433333333333329,,,0.0,0.1666666666666666,0.1441666666666666,85.83333333333333
potential_geo,45,0.11099999999999996,,,0.0,0.2333333333333333,0.1964333333333333,80.76666666666667
potential_geo,46,0.146,,,0.0,0.2666666666666666,0.2087666666666666,79.76666666666667
potential_geo,47,0.14833333333333332,,,0.0,0.2333333333333333,0.2057333333333333,79.73333333333333
potential_geo,48,0.12799999999999997,,,0.0,0.1333333333333333,0.1168333333333333,88.5
potential_geo,49,0.1023333333333333,,,0.0,0.2333333333333333,0.1856333333333333,81.96666666666667
potential_bfs,42,0.15999999999999998,,,0.0,0.1333333333333333,0.1198333333333333,88.16666666666667
potential_bfs,43,0.08266666666666664,,,0.0,0.2666666666666666,0.2216666666666666,78.33333333333333
potential_bfs,44,0.1533333333333333,,,0.0,0.2666666666666666,0.1760666666666666,83.4
potential_bfs,45,0.09966666666666664,,,0.0,0.2333333333333333,0.1646333333333333,84.3
potential_bfs,46,0.062333333333333296,,,0.0,0.1,0.0685,93.5
potential_bfs,47,0.144,,,0.0,0.2666666666666666,0.2066666666666667,80.0
potential_bfs,48,0.10433333333333328,,,0.0,0.1666666666666666,0.1207666666666666,88.43333333333334
potential_bfs,49,0.03666666666666663,,,0.0,0.0666666666666666,0.0492666666666666,95.26666666666668
intention_naive,42,0.002999999999999997,,,0.0,0.0333333333333333,0.0129333333333333,98.93333333333334
intention_naive,43,0.003333333333333329,,,0.0,0.0,0.0,100.0
intention_naive,44,0.000666666666666666,,,0.0,0.0,0.0,100.0
intention_naive,45,0.000666666666666666,,,0.0,0.0,0.0,100.0
intention_naive,46,0.001999999999999998,,,0.0,0.0,0.0,100.0
intention_naive,47,0.020333333333333307,,,0.0,0.0333333333333333,0.0255333333333333,97.53333333333332
intention_naive,48,0.000666666666666666,,,0.0,0.0,0.0,100.0
intention_naive,49,0.0,,,0.0,0.0,0.0,100.0
