condition,first_50_mean_steps,first_50_std_steps,first_50_reached_seeds,final_success_mean,final_success_std,final_native_return_mean,final_native_return_std,final_episode_length_mean,final_episode_length_std,n_seeds
sparse,12500.0,4330.127018922193,8,1.0,0.0,0.9554101562500004,0.009534771378191273,12.683333333333334,2.7121127475743996,8
intention_pb,28750.0,7806.247497997998,8,1.0,0.0,0.9474853515625001,0.025496929937566058,14.9375,7.252460071129887,8
dense,17500.0,4330.127018922193,8,1.0,0.0,0.9587646484375002,0.0026699967056426333,11.729166666666668,0.759465729604994,8
intention_naive,,,0,0.0,0.0,0.0,0.0,256.0,0.0,8
