section,metric,value,status,source,std,se,t,same_sign_seeds,n,cosine,harm_recovered_fraction,harm_removed_fraction,note,n_episodes,n_observations,published,abs_diff,agrees,policy
lambda_sweep,lambda=2.auc,0.057666666666666665,reproduced,lambda_logs/fourrooms_potential_geo_lam2_seed{seed}/evaluation/success_rate.csv,0.02578328485235692,,,,8,,,,,,,,,,
lambda_sweep,lambda=2.delta,-0.13404166666666667,reproduced,lambda_logs/... vs task05 sparse,,0.01935091949540021,-6.926888755778705,8,8,,,,,,,,,,
auxiliary,goal_visibility.Empty-Random-6x6,0.5578793465132541,reproduced,analysis/observability_stats.csv,,0.003959700859586828,,,,,,,,200,15731,0.562,0.004120653486745951,True,nav3
auxiliary,initial_phi_variance.Empty-Random-6x6,0.047559718204562035,reproduced,analysis/observability_stats.csv,,n/a,,,,,,,,200,0,0.046,0.0015597182045620356,True,nav3
auxiliary,random_success_rate.Empty-Random-6x6,0.695,reproduced,analysis/observability_stats.csv,,0.03255572146336186,,,,,,,,200,0,0.67,0.02499999999999991,False,nav3
auxiliary,goal_visibility.Empty-8x8,0.26484848484848483,reproduced,analysis/observability_stats.csv,,0.002217377221054911,,,,,,,,200,39600,0.27,0.005151515151515185,False,nav3
auxiliary,initial_phi_variance.Empty-8x8,0.0,reproduced,analysis/observability_stats.csv,,n/a,,,,,,,,200,0,0.0,0.0,True,nav3
auxiliary,random_success_rate.Empty-8x8,0.515,reproduced,analysis/observability_stats.csv,,0.03533942557541082,,,,,,,,200,0,not_published,n/a,n/a,nav3
auxiliary,goal_visibility.FourRooms,0.09406269483539284,reproduced,analysis/observability_stats.csv,,0.0009332581207878788,,,,,,,,1000,97839,0.094,6.269483539284026e-05,True,nav3
auxiliary,initial_phi_variance.FourRooms,0.051750995375301784,reproduced,analysis/observability_stats.csv,,n/a,,,,,,,,1000,0,0.053,0.0012490046246982148,True,nav3
auxiliary,random_success_rate.FourRooms,0.062,reproduced,analysis/observability_stats.csv,,0.007626008130076967,,,,,,,,1000,0,0.093,0.031,False,nav3
auxiliary,training_runs.official_analysis,208,reproduced,run-directory count in six official log roots,,,,,,,,,,,,,,,
auxiliary,training_runs.all_log_directories,231,reproduced,run-directory count in every repository directory ending in 'logs',,,,,,,,,,,,,,,
document_audit,完整方案说明_定稿.pdf,present,reproduced,D:\剑桥项目\完整方案说明_定稿.pdf,,,,,,,,,generated by build_scheme_pdf.py; PDF text audit is external,,,,,,
document_audit,extended_abstract_2page.tex,present,reproduced,D:\剑桥项目\extended_abstract_2page.tex,,,,,,,,,text inspected,,,,,,
document_audit,extended_abstract.tex,present,reproduced,D:\剑桥项目\extended_abstract.tex,,,,,,,,,text inspected,,,,,,
document_audit,POSTER_PLAN.md,present,reproduced,D:\剑桥项目\POSTER_PLAN.md,,,,,,,,,text inspected,,,,,,
document_difference,closed_form_rounding,mismatch,reproduced,four-document audit,,,,,,,,,"109.26 in all four documents; exact formula gives 109.254834, which rounds to 109.25 at two decimals. 109.26 results from rounding the per-step value to 0.4268 before multiplying.",,,,,,
document_difference,task04_shift_delta,mismatch,reproduced,four-document audit,,,,,,,,,"+0.0674 in the PDF and both abstracts; archived logs give +0.0684375 (display +0.0684). t=+3.14, 8/8 and 81% still agree.",,,,,,
document_difference,empty_random_geo_delta,mismatch,reproduced,four-document audit,,,,,,,,,"+0.0041 in both abstracts; archived logs give +0.0041667, whose four-decimal display is +0.0042.",,,,,,
document_difference,training_count,mismatch,reproduced,four-document audit,,,,,,,,,task-08 says approximately 235; six formal log roots contain 208 runs and all *logs roots contain 231 run directories.,,,,,,
